"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähköntuotantoennuste - päivittyvä tuntienergiatieto"
"2021-01-03 01:00:00","2021-01-03 02:00:00","2021-01-03 03:00:00","2021-01-03 04:00:00","7815.673336"
"2021-01-03 02:00:00","2021-01-03 03:00:00","2021-01-03 04:00:00","2021-01-03 05:00:00","7786.667916"
"2021-01-03 03:00:00","2021-01-03 04:00:00","2021-01-03 05:00:00","2021-01-03 06:00:00","7885.33833"
"2021-01-03 04:00:00","2021-01-03 05:00:00","2021-01-03 06:00:00","2021-01-03 07:00:00","7958.161284"
"2021-01-03 05:00:00","2021-01-03 06:00:00","2021-01-03 07:00:00","2021-01-03 08:00:00","8115.667664"
"2021-01-03 06:00:00","2021-01-03 07:00:00","2021-01-03 08:00:00","2021-01-03 09:00:00","8140.499988"
"2021-01-03 07:00:00","2021-01-03 08:00:00","2021-01-03 09:00:00","2021-01-03 10:00:00","8287.883257"
"2021-01-03 08:00:00","2021-01-03 09:00:00","2021-01-03 10:00:00","2021-01-03 11:00:00","8341.351091"
"2021-01-03 09:00:00","2021-01-03 10:00:00","2021-01-03 11:00:00","2021-01-03 12:00:00","8315.856033"
"2021-01-03 10:00:00","2021-01-03 11:00:00","2021-01-03 12:00:00","2021-01-03 13:00:00","8489.193649"
"2021-01-03 11:00:00","2021-01-03 12:00:00","2021-01-03 13:00:00","2021-01-03 14:00:00","8492.51891"
"2021-01-03 12:00:00","2021-01-03 13:00:00","2021-01-03 14:00:00","2021-01-03 15:00:00","8457.522603"
"2021-01-03 13:00:00","2021-01-03 14:00:00","2021-01-03 15:00:00","2021-01-03 16:00:00","8403.251576"
"2021-01-03 14:00:00","2021-01-03 15:00:00","2021-01-03 16:00:00","2021-01-03 17:00:00","8500.175349"
"2021-01-03 15:00:00","2021-01-03 16:00:00","2021-01-03 17:00:00","2021-01-03 18:00:00","8499.145519"
"2021-01-03 16:00:00","2021-01-03 17:00:00","2021-01-03 18:00:00","2021-01-03 19:00:00","8475.556004"
"2021-01-03 17:00:00","2021-01-03 18:00:00","2021-01-03 19:00:00","2021-01-03 20:00:00","8408.349661"
"2021-01-03 18:00:00","2021-01-03 19:00:00","2021-01-03 20:00:00","2021-01-03 21:00:00","8163.487803"
"2021-01-03 19:00:00","2021-01-03 20:00:00","2021-01-03 21:00:00","2021-01-03 22:00:00","7899.198282"
"2021-01-03 20:00:00","2021-01-03 21:00:00","2021-01-03 22:00:00","2021-01-03 23:00:00","7885.198322"
"2021-01-03 21:00:00","2021-01-03 22:00:00","2021-01-03 23:00:00","2021-01-04 00:00:00","7580.273047"
"2021-01-03 22:00:00","2021-01-03 23:00:00","2021-01-04 00:00:00","2021-01-04 01:00:00","7691.790669"
"2021-01-03 23:00:00","2021-01-04 00:00:00","2021-01-04 01:00:00","2021-01-04 02:00:00","7459.529826"
"2021-01-04 00:00:00","2021-01-04 01:00:00","2021-01-04 02:00:00","2021-01-04 03:00:00","7446.69762"
"2021-01-04 01:00:00","2021-01-04 02:00:00","2021-01-04 03:00:00","2021-01-04 04:00:00","7436.485611"
"2021-01-04 02:00:00","2021-01-04 03:00:00","2021-01-04 04:00:00","2021-01-04 05:00:00","7504.273453"
"2021-01-04 03:00:00","2021-01-04 04:00:00","2021-01-04 05:00:00","2021-01-04 06:00:00","7564.504807"
"2021-01-04 04:00:00","2021-01-04 05:00:00","2021-01-04 06:00:00","2021-01-04 07:00:00","7887.352451"
"2021-01-04 05:00:00","2021-01-04 06:00:00","2021-01-04 07:00:00","2021-01-04 08:00:00","8218.733438"
"2021-01-04 06:00:00","2021-01-04 07:00:00","2021-01-04 08:00:00","2021-01-04 09:00:00","8678.993307"
"2021-01-04 07:00:00","2021-01-04 08:00:00","2021-01-04 09:00:00","2021-01-04 10:00:00","8997.148919"
"2021-01-04 08:00:00","2021-01-04 09:00:00","2021-01-04 10:00:00","2021-01-04 11:00:00","8823.558769"
"2021-01-04 09:00:00","2021-01-04 10:00:00","2021-01-04 11:00:00","2021-01-04 12:00:00","8877.232954"
"2021-01-04 10:00:00","2021-01-04 11:00:00","2021-01-04 12:00:00","2021-01-04 13:00:00","8979.933383"
"2021-01-04 11:00:00","2021-01-04 12:00:00","2021-01-04 13:00:00","2021-01-04 14:00:00","8880.90483"
"2021-01-04 12:00:00","2021-01-04 13:00:00","2021-01-04 14:00:00","2021-01-04 15:00:00","8942.747305"
"2021-01-04 13:00:00","2021-01-04 14:00:00","2021-01-04 15:00:00","2021-01-04 16:00:00","9048.28787"
"2021-01-04 14:00:00","2021-01-04 15:00:00","2021-01-04 16:00:00","2021-01-04 17:00:00","9149.492685"
"2021-01-04 15:00:00","2021-01-04 16:00:00","2021-01-04 17:00:00","2021-01-04 18:00:00","9191.426491"
"2021-01-04 16:00:00","2021-01-04 17:00:00","2021-01-04 18:00:00","2021-01-04 19:00:00","9173.250929"
"2021-01-04 17:00:00","2021-01-04 18:00:00","2021-01-04 19:00:00","2021-01-04 20:00:00","9096.686691"
"2021-01-04 18:00:00","2021-01-04 19:00:00","2021-01-04 20:00:00","2021-01-04 21:00:00","8833.490811"
"2021-01-04 19:00:00","2021-01-04 20:00:00","2021-01-04 21:00:00","2021-01-04 22:00:00","8389.88504"
"2021-01-04 20:00:00","2021-01-04 21:00:00","2021-01-04 22:00:00","2021-01-04 23:00:00","8360.095228"
"2021-01-04 21:00:00","2021-01-04 22:00:00","2021-01-04 23:00:00","2021-01-05 00:00:00","8077.329029"
"2021-01-04 22:00:00","2021-01-04 23:00:00","2021-01-05 00:00:00","2021-01-05 01:00:00","7608.082335"
"2021-01-04 23:00:00","2021-01-05 00:00:00","2021-01-05 01:00:00","2021-01-05 02:00:00","7373.615794"
"2021-01-05 00:00:00","2021-01-05 01:00:00","2021-01-05 02:00:00","2021-01-05 03:00:00","7217.691691"
"2021-01-05 01:00:00","2021-01-05 02:00:00","2021-01-05 03:00:00","2021-01-05 04:00:00","7238.39613"
